marca,modelo,año,kilometraje_km,combustible,potencia_cv,transmision,precio_eur,tipo_venta,etiqueta_ambiental
Byd,BYD Seal,2024,3111.0,Eléctrico,313.0,Automática,44500,Usado,0_EMISIONES
Opel,Opel Corsa,2020,50177.0,Gasolina,75.0,Manual,10990,Usado,C
Volkswagen,Volkswagen Polo,2006,108827.0,Diésel,70.0,Manual,5750,Usado,B
Mazda,Mazda Mazda3,2017,143315.0,Diésel,150.0,Manual,13850,Usado,C
Skoda,Skoda Octavia,2018,114182.0,Gasolina,230.0,Manual,24300,Usado,C
Bmw,BMW X2,2022,27329.0,Gasolina,140.0,Automática,24214,Usado,C
Volkswagen,Volkswagen T-Roc,2023,13914.0,Gasolina,150.0,Automática,28350,Usado,C
Nissan,Nissan QASHQAI,2010,112324.0,Diésel,106.0,Manual,9800,Usado,B
Peugeot,Peugeot Rifter,2023,7342.0,Diésel,130.0,Automática,31800,Usado,C
Mercedes,Mercedes Clase A,2020,36170.0,Gasolina,163.0,Manual,22438,Usado,C
Ford,Ford Kuga,2019,144482.0,Diésel,120.0,Manual,14800,Usado,C
Renault,Renault Kadjar,2017,101608.0,Diésel,110.0,Manual,16700,Usado,C
Toyota,Toyota C-HR,2017,106564.0,Híbrido,122.0,Automática,18900,Usado,ECO
Kia,KIA Ceed,2019,79922.0,Gasolina,120.0,Manual,17390,Usado,C
Citroën,Citroën C5 Aircross,2020,58768.0,Diésel,131.0,Manual,20450,Usado,C
Citroën,Citroën C-Elysée,2020,95131.0,Diésel,102.0,Manual,11900,Usado,C
Volkswagen,Volkswagen Beetle,2013,57804.0,Gasolina,105.0,Manual,14350,Usado,C
Seat,Seat Ibiza,2019,75801.0,Gnc,90.0,Manual,12500,Usado,ECO
Volkswagen,Volkswagen Polo,2021,65002.0,Gasolina,95.0,Manual,14450,Usado,C
Bmw,BMW X2,2022,11904.0,Diésel,150.0,Manual,25165,Usado,C
Nissan,Nissan QASHQAI,2021,90736.0,Híbrido,158.0,Automática,20041,Usado,ECO
Bmw,BMW X4,2017,148287.0,Diésel,190.0,Automática,27650,Usado,C
Audi,Audi A4,2019,43190.0,Diésel,163.0,Automática,23016,Usado,C
Toyota,Toyota Auris,2017,182277.0,Híbrido,136.0,Automática,11900,Usado,ECO
Mercedes,Mercedes Clase A,2020,81600.0,Diésel,116.0,Manual,21990,Usado,C
Hyundai,Hyundai i20,2023,9610.0,Gasolina,100.0,Manual,18990,Usado,C
Ds,DS DS 5,2017,97635.0,Diésel,150.0,Manual,16990,Usado,C
Seat,Seat Ibiza,2015,16435.0,Diésel,105.0,Manual,11800,Usado,C
Dacia,Dacia Sandero,2023,13140.0,Gasolina,110.0,Manual,17300,Usado,C
Rimor,RIMOR Luano Camp,2018,90857.0,Diésel,131.0,Manual,53990,Usado,C
Renault,Renault Scénic,2018,79710.0,Diésel,110.0,Automática,17990,Usado,C
Renault,Renault Clio,2019,44890.0,Gasolina,76.0,Manual,8512,Usado,C
Seat,Seat León,2021,47239.0,Gasolina,150.0,Manual,23500,Usado,C
Iveco,Iveco Daily,2019,151019.0,Diésel,156.0,Manual,19800,Usado,C
Toyota,Toyota Auris,2017,41712.0,Híbrido,136.0,Automática,17990,Usado,ECO
Toyota,Toyota Aygo,2018,105787.0,Gasolina,69.0,Manual,10750,Usado,C
Peugeot,Peugeot Partner,2015,149685.0,Diésel,100.0,Manual,10990,Usado,C
Peugeot,Peugeot 3008,2019,143837.0,Diésel,130.0,Manual,15700,Usado,C
Ssangyong,SsangYong Kyron,2009,128421.0,Diésel,138.0,Manual,7300,Usado,B
Nissan,Nissan PULSAR,2016,76587.0,Diésel,110.0,Manual,11990,Usado,C
Kia,KIA Sportage,2024,312.0,Híbrido,160.0,Manual,28990,Usado,ECO
Mazda,Mazda CX-30,2019,84054.0,Gasolina,122.0,Manual,20890,Usado,C
Renault,Renault Clio,2021,48763.0,Híbrido,140.0,Automática,17900,Usado,ECO
Volkswagen,Volkswagen Tiguan,2019,59948.0,Gasolina,150.0,Automática,22231,Usado,C
Bmw,BMW Serie 5,2020,88990.0,Híbrido,190.0,Automática,37500,Usado,ECO
Opel,Opel Corsa,2021,95730.0,Gasolina,100.0,Manual,10082,Usado,C
Opel,Opel Crossland X,2019,108452.0,Diésel,102.0,Manual,10661,Usado,C
Mercedes,Mercedes Citan,2021,69440.0,Diésel,95.0,Manual,12933,Usado,C
Ford,Ford Tourneo Courier,2017,77000.0,Gasolina,100.0,Manual,12300,Usado,C
Volvo,Volvo S60,2016,96213.0,Diésel,150.0,Manual,16990,Usado,C
Nissan,Nissan QASHQAI,2016,73104.0,Diésel,110.0,Manual,16490,Usado,C
Renault,Renault Captur,2024,2938.0,Gasolina,90.0,Manual,20990,Usado,C
Bmw,BMW Serie 2,2015,135686.0,Diésel,190.0,Automática,22500,Usado,C
Peugeot,Peugeot 307,2006,198752.0,Diésel,90.0,Manual,2900,Usado,B
Renault,Renault Captur,2017,138336.0,Diésel,90.0,Manual,11900,Usado,C
Ford,Ford Tourneo Courier,2018,52718.0,Gasolina,100.0,Manual,13750,Usado,C
